101.09.30 19:34 B C:\My Documents\CRS\drchuck\resume\teaching.htm --> login.engin.umich.edu /afs/engin.umich.edu/u/c/s/csev/Public/html/resume teaching.htm
101.09.30 19:34 B C:\My Documents\CRS\drchuck\resume\travel.htm --> login.engin.umich.edu /afs/engin.umich.edu/u/c/s/csev/Public/html/resume travel.htm
101.09.30 19:34 B C:\My Documents\CRS\drchuck\resume\WS_FTP.LOG --> login.engin.umich.edu /afs/engin.umich.edu/u/c/s/csev/Public/html/resume WS_FTP.LOG
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\awards.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume awards.htm
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\bio.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume bio.htm
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\columns.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume columns.htm
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\csev.jpg --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume csev.jpg
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\index.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume index.htm
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\interests.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume interests.htm
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\research.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume research.htm
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\resume-ummu.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume resume-ummu.htm
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\resume.1996 --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume resume.1996
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\resume.doc --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume resume.doc
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\resumem2001.doc --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume resumem2001.doc
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\service.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume service.htm
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\teaching.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume teaching.htm
101.09.30 19:35 B C:\My Documents\CRS\drchuck\resume\travel.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume travel.htm
102.11.17 13:04 B C:\temp\csev\resume\WS_FTP.LOG <-- netfact /Inetpub/wwwroot/netfact/csev/resume WS_FTP.LOG
